id,source_file,sheet,row_id,module,issue_type,priority,title,description,actual_result,expected_result,reference
F1-DEF-11,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,11,Utility Data Upload,Functional / Validation,High,Year field accepts invalid and non-standard values without validation,"The Year field allows users to enter incorrect or incomplete values (e.g., “002”), indicating missing validation rules.",System accepts invalid year values without any validation error,"System should validate the Year field to accept only valid 4-digit numeric values (e.g., 2024) and restrict incorrect formats",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::11
F1-DEF-12,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,12,Energy Report Generation,Functional,High,Energy report not sent via email even after providing valid email address,"When a user enters an email address in the “Email To (optional)” field and clicks Generate, the energy report is generated successfully, but the email is not sent. The API response also shows ""emailSent"": false, indicating failure in email triggering.","Report is generated successfully
 No email is received
 API response shows ""emailSent"": false","System should send the generated report to the provided email address
 API response should return ""emailSent"": true upon successful email delivery",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::12
F1-DEF-13,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,13,Utility Data Upload – Manual Entry,Functional,High,Total kBTU should be auto-calculated instead of manual entry,"The Total kBTU field is mandatory but requires manual input even when Electric (kWh) and Gas (therms) values are provided. The system does not auto-calculate Total kBTU based on standard energy conversion, leading to risk of incorrect data entry.",Total kBTU field remains empty and requires manual input from user,Total kBTU should be automatically calculated using formula,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::13
F1-DEF-14,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,14,Reports – Recent Reports / Report Generation,Functional,High,Generated reports always show 0 kBTU savings,All generated reports display savings as “+0.0% (+0 kBTU)” even when utility and degree day data is available. This indicates that the savings calculation logic is not working or baseline data is not being considered properly.,Savings always show “+0.0% (+0 kBTU)” for all reports,Savings should be calculated based on baseline vs current consumption and should display correct % and kBTU difference,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::14
F1-IMP-1,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,1,Smart Default Filters,Improvement,Medium,"Default all dashboards and reports to last 24 hours or current day, with quick toggle options (24h / 7d / 30d)",Most operational decisions are real-time; reduces effort of manually adjusting filters every time,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::1
F1-IMP-2,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,2,City Risk Scoring,Improvement,Medium,"Add a calculated “Cold Risk Score” per city using historical temperature data + alert frequency (e.g., Buffalo = High Risk)",Helps admins prioritize monitoring and configuration for high-risk regions,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::2
F1-IMP-3,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,3,Pre-configured Cold Cities,Improvement,Medium,"Provide a preloaded dataset of Northeast cold cities (Buffalo, Syracuse, Rochester, Albany, Burlington, etc.) with default alert configs",Reduces onboarding effort and ensures system aligns with business focus without manual setup,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::3
F1-IMP-4,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,4,Bulk Upload for Cities,Improvement,Medium,"Enable CSV/Excel upload to add multiple cities with fields like state, grid, alert config",Saves significant setup time for large-scale onboarding,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::4
F1-IMP-5,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,5,Inline Editing,Improvement,Medium,"Allow editing city/building details directly within table rows (e.g., click cell → edit → save) instead of navigating to separate pages",Reduces clicks and speeds up frequent updates,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::5
F1-IMP-6,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,6,Building Health Score,Improvement,Medium,"Introduce a composite score combining alert frequency, compliance %, and response time displayed as color-coded indicator",Gives admins a quick understanding of which buildings need attention,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::6
F1-IMP-7,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,7,Auto Escalation Rules,Improvement,Medium,Configure rules such as “If compliance < 20% for 3 days → notify admin + escalate to staff”,Ensures no critical issue goes unnoticed due to human delay,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::7
F1-IMP-8,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,8,Smart Alert Triggering,Improvement,Medium,Add logic to trigger alerts only if temperature change persists for X minutes to avoid false positives due to temporary fluctuations,Reduces alert noise and improves trust in system alerts,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::8
F1-IMP-9,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,9,Alert Deduplication,Improvement,Medium,"Group repeated alerts for the same building/city into a single thread with count (e.g., 5 repeated alerts)",Keeps alert logs clean and easier to analyze,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::9
F1-IMP-10,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,10,Region-based Grouping,Improvement,Medium,"Allow grouping/filtering cities by region (Northeast, Midwest, etc.) or state",Makes management easier when scaling across regions,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::10
F1-IMP-11,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,11,Global Search,Improvement,Medium,"Implement a universal search bar that can find cities, buildings, staff, messages instantly",Saves navigation time and improves efficiency,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::11
F1-IMP-12,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,12,One-click Compliance Upload,Improvement,Medium,Add direct “Upload Photo” button inside alert notification or message (no navigation needed),Reduces friction and increases compliance rate,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::12
F1-IMP-13,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,13,Retry Failed Messages,Improvement,Medium,"Provide Retry button for failed messages with error reason (e.g., invalid number)",Ensures important alerts are eventually delivered,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::13
F1-IMP-14,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,14,Smart Empty States,Improvement,Medium,Show guided messages like “No cities added yet – Click here to add or upload CSV”,Improves onboarding and reduces confusion,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::14
F1-IMP-15,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,15,UI Consistency,Improvement,Medium,"Standardize text formatting (e.g., auto Title Case for building name and address).",Improves readability and provides a consistent user experience,N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::15
F1-IMP-16,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,16,Edit recipient,Improvement,Medium,Replace browser default validation (“Please fill out this field”) with custom inline validation messages styled consistently with the application UI.,"Provides clearer, consistent, and better-positioned error messages, improving usability and reducing confusion",N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::16
F1-IMP-17,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,17,Input Validation & UX,Improvement,Medium,"Add input constraints and UI controls for Year field, such as:
 Restrict input to 4-digit numeric values only
 Add min/max range (e.g., 1900–current year)
 Use a numeric stepper or dropdown for year selection
 Show inline validation message for invalid input","Prevents incorrect data entry, improves data accuracy, and reduces user errors during manual input",N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::17
F1-IMP-18,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,18,User Feedback & Notification,Improvement,Medium,"Provide clear feedback on email status after report generation:
 
 Show success message if email is sent
 Show error message if email fails (e.g., “Failed to send email. Please try again”)
 Option to retry sending email
 Add loading indicator while email is being processed","Prevents confusion by clearly informing users whether the email was sent or not, improving trust and usability",N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::18
F1-IMP-19,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Improvements,19,UI / User Interaction,Improvement,Medium,"Change cursor to a hand pointer (clickable cursor) when hovering over interactive elements such as list items, buttons, dropdowns, or selectable rows.","Clearly indicates that the element is clickable, improving usability and reducing confusion. Enhances overall user experience by aligning with standard UI behavior.",N/A (improvement request),Implement requested improvement,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Improvements::19
F2-ISS-1,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,1,,UI/UX Bug,High,"City search dropdown remains visible and blocks UI after clearing input in 'Search' field under 'Create New City' popup, on 'Cities' page.",,"Dropdown remains visible even after clearing input in 'Search' field, blocking underlying fields and preventing user interaction.","Dropdown suggestions list should disappear after clearing input in 'Search' field, allowing full access to underlying UI elements.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::1
F2-ISS-2,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,2,,Functional,High,"City search suggestion returns incorrect results in first search attempt, but corrects after retyping the city name in 'Search' field under 'Create New City' popup, on 'Cities' page.",,Initial search results are incorrect or irrelevant; results become accurate only after modifying or retyping the input,"Search results should be accurate and relevant to the entered city name in the first attempt under 'Create New City' popup, on 'Cities' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::2
F2-ISS-3,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,3,,UI/UX Bug,Medium,"Duplicate city options appearing in search city dropdown under 'Create New City' popup, on 'Cities' page.",,"Duplicate entries for “New York, NY” appearing in search city dropdown under 'Create New City' popup, on 'Cities' page.","Each city should appear only once in the dropdown without duplication under 'Create New City' popup, on 'Cities' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::3
F2-ISS-4,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,4,,Functional,Medium,"Delete' action deactivates city instead of deleting, causing confusion with existing status control on 'Cities' page.",,"City is marked as 'Inactive' instead of being deleted, while a separate status control/option (Active/Inactive) already exists.",Delete action should permanently remove the city OR clearly indicate it performs deactivation (rename to 'Deactivate' and remove redundancy with status control),Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::4
F2-ISS-5,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,5,,Functional,High,"User is not able to search city name under 'Edit city configuration' section, on 'Cities' page.",,"User is able to update city with invalid/random name instead of restricting input to valid searchable/selectable cities under 'Edit city configuration' section, on 'Cities' page.","City Name' field should only allow selection from predefined/searchable city list and restrict manual invalid entries under 'Edit city configuration' section, on 'Cities' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::5
F2-ISS-6,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,6,,UI/UX Bug,Medium,User is not redirected to 'Cities' page after updating city details from 'Edit city configuration' page.,,User is not redirected to 'Cities' page after updating city details from 'Edit city configuration' page.,"User should redirect to 'Cities' page after updating city details from 'Edit city configuration' page, without requiring manual navigation.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::6
F2-ISS-7,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,7,,Functional,Medium,"User is able to duplicate city entries with identical name, NWS grid, and configuration data on 'Cities' page.",,"User is able to duplicate city entries with identical name, NWS grid, and configuration data on 'Cities' page.",System should prevent duplicate entries or show validation error if same city with identical configuration already exists.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::7
F2-ISS-8,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,8,,UI/UX Bug,Medium,"Unnecessary empty space appears below the 'City Statistics' section on 'Dashboard' page, affecting layout consistency.",,Large empty/unutilized space is displayed below the 'City Statistics' section on 'Dashboard' page.,Space should be properly utilized or minimized to maintain a clean and consistent UI layout below the 'City Statistics' section on 'Dashboard' page,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::8
F2-ISS-9,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,9,,UI/UX Bug,Medium,Background page remains scrollable and causes scroll glitch after selecting city in 'Add Building' popup on 'Buildings' page.,,"Background page becomes remains along with popup, causing scroll glitch and poor user experience.",Background scroll should be disabled and scrolling should be restricted after opening the 'Add Building' popup on 'Buildings' page.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::9
F2-ISS-10,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,10,,UX,Medium,Status' column shows multiple states simultaneously (Active + Paused) causing unclear/confusing behavior on 'Buildings' page.,,"Status' column shows multiple values at the same time (e.g., “Active” and “Paused”), creating confusion about the actual state, on 'Buildings' page.","Status should display a single clear state (e.g., either “Active” or “Paused”) OR clearly differentiate states with proper labeling/logic",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::10
F2-ISS-11,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,11,,UI/UX Bug,Medium,Validation error for missing email/phone appears on 'Recipients' lis page instead of 'Add Recipient' popup.,,Validation error message appears on 'Recipients' lis page instead of 'Add Recipient' popup.,Validation error should appear on 'Add Recipient' popup near the respective fields.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::11
F2-ISS-12,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,12,,UI/UX Bug,Medium,No validation appearing after entering invalid mobile number under 'Add/Edit Recipient' popup on 'Recipients' page.,,No validation appearing after entering invalid mobile number under 'Add/Edit Recipient' popup on 'Recipients' page.,"System should validate mobile number format (length, country code, numeric format) and reject invalid entries with proper error message.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::12
F2-ISS-13,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,13,,UI/UX Bug,Medium,"No success message appears after updating records on 'Buildings, Recipients, and Staff' pages.",,No success or confirmation message is displayed after updating the record.,"System should display a success message (e.g., Updated successfully') after updating the record.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::13
F2-ISS-14,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,14,,Enhancement,Medium,"No sorting functionality available across the data tables (Cities, Buildings, Recipients, Staff) for better data management, accross the website.",,No sorting functionality is available; data cannot be arranged in ascending or descending order,"Users should be able to sort data by clicking on column headers (e.g., A–Z, Z–A, numeric sorting), for better data management.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::14
F2-ISS-15,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,15,,Enhancement,Medium,No filtering functionality available across the website to refine and view specific data.,,No filtering options are available to refine or narrow down displayed data.,"System should provide filtering options (e.g., by Status, City, Date, etc.) to help users quickly find specific records, across the website.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::15
F2-ISS-16,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,16,,Enhancement,Medium,Status' column available in 'Buildings' module without any option to modify or manage status (Active/Inactive) on 'Buildings' page.,,"Status' column available in 'Buildings' module (e.g., Active) but there is no option available to modify or manage it.","Either provide functionality to update Buildings status OR remove the status column if it is not actionable, on 'Buildings' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::16
F2-ISS-17,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,17,,UI/UX Bug,Medium,Select a City' option from filter dropdown resets page to empty state despite being a non-actionable/default option on 'Templates' page.,,Page becomes empty/reset with no template data displayed.,"Select a City' should be disabled as a placeholder in filter dropdown, on 'Templates' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::17
F2-ISS-18,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,18,,Functional,High,Delete' action neither deletes the template nor shows any success/error message on 'Templates' page.,,No success or error message is displayed and the template is not deleted.,Template should be deleted successfully with a confirmation message OR an appropriate info message should be shown if deletion is restricted.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::18
F2-ISS-19,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,19,,Enhancement,Medium,"No filter options are available to segregate messages based on their status in 'Message History' section, on 'Compilance' page.",,"No filter options are available to segregate messages based on their status in 'Message History' section, on 'Compilance' page.","Filters should be available for status like Delivered, Pending, and Uploaded to help users easily track and analyze message data, on 'Compilance' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::19
F2-ISS-20,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,20,,Functional,High,"Generic error displayed when generating duplicate report instead of proper validation message, on 'Energy & Reports' page.",,"When a report is generated for a specific period (e.g., March 2026) and the user attempts to generate the same report again for the already generated period, the system displays a generic error message: 'Error generating report.'
This message does not clearly indicate the reason for the failure.","When attempting to generate a report for a period that has already been generated, the system should display a clear and specific validation message, such as: 'Report for this period has already been generated.'",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::20
F2-ISS-21,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,21,,Enhancement,Medium,"User Role' (Admin/Staff) is not visually distinguished/highlighted on the header, reducing visibility and clarity.",,Role text appears similar to other header elements without any visual distinction.,"Role should be visually highlighted (e.g., badge, color, bold styling) to clearly differentiate it from other text",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::21
F2-ISS-22,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,22,,Enhancement,Medium,"Forgot Password' option is missing across all login screens (Admin, Building, Staff), blocking account recovery",,No 'Forgot Password' or recovery option is available on any login screen,Login' page should include a 'Forgot Password' option to allow users to reset their password via email or other verification methods.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::22
F2-ISS-23,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,23,,UI/UX Bug,Medium,No validation when no building is selected under 'Add Recipient' popup despite default checkbox pre-selected like 1st Building name on 'Recipient' page.,,System allows submission without any building selected and no validation message is displayed,"System should show validation message like:
'Please select at least one building'
and prevent form submission",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::23
F2-ISS-24,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,24,,Functional,High,Daily Summary' trigger button from Dashboard does not send emails to 'Rrecipients' even after complete setup of creation (City -> Building -> Recipient) flow.,"I noticed that triggered emails (e.g., daily summary, check alerts) are not always received immediately.

Could you please confirm if there is any delay or scheduled timing configured on the backend (e.g., emails sent after a few hours)?

Just want to confirm the expected behavior for proper validation.",No email is received by the added recipient and no update/notification is reflected even after refresh the page.,Daily Summary' email should be triggered and delivered to all recipients mapped to the building.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::24
F2-ISS-25,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,25,,UI,Medium,Header layout breaks at 100% zoom causing overlap between 'User Role' label and navigation tabs ('Energy/Messages') with screen size 1265 × 559.,,"Role: ADMIN”' overlaps with navigation items like Energy / Messages, causing cluttered and unclear UI","Header elements should be properly spaced and responsive, with no overlap between role indicator and navigation tabs",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::25
F2-ISS-26,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,26,,Functional,High,"Sent At' detail displays incorrect default timestamp '01/01/1970, 05:30:00' on 'Messgaes' page after triggering action, on 'Dashboard' page.",,"Sent At' details displays incorrect default timestamp '01/01/1970, 05:30:00' on 'Messgaes' page.","Sent At' should display the actual date and time when the message was sent, on 'Messgaes' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::26
F2-ISS-27,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,27,,UI,Medium,Incorrect success message grammar message appear after uploading the file under 'Upload compliance photo or BMS record' popup.,,File uploaded successfully and is compliant' success message appearing after uploading the file under 'Upload compliance photo or BMS record' popup.,"The message should be clear and properly structured, such as:
'The file was uploaded successfully and is compliant'
or
'File uploaded successfully and meets compliance requirements.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::27
F2-ISS-28,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,28,,Enhancement,Medium,"Missing navigation option after file upload completion, under 'Upload compliance photo or BMS record' popup.",,"After uploading the file, only a success message is displayed with no option to navigate back to the portal, under 'Upload compliance photo or BMS record' popup.","After successful file upload, a navigation option (e.g., 'Go to Portal' or 'Return to Dashboard') should be displayed along with the success message, under 'Upload compliance photo or BMS record' popup.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::28
F2-ISS-29,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,29,,Functional,High,View' button is not available under 'Recent Uploads' section on Building Portal.,,View' button is not available under 'Recent Uploads' section on Building Portal.,View' button should be available to view uploaded files under 'Recent Uploads' section on Building Portal.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::29
F2-ISS-30,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,30,,Functional,Medium,"Copy Link' option is not working under 'Recent reports' section on 'Energy' page, across the website only in Safari browser.",,"Copy Link' option is not working under 'Recent reports' section on 'Energy' page, across the website only in Safari browser.","Copy Link' option should work properly under 'Recent reports' section on 'Energy' page, across the website.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::30
F2-ISS-31,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,31,,Functional,Medium,Staff user not receiving email notification after account creation by Admin,,"When the admin creates staff credentials (email and password), no email notification is sent to the staff member.","When a staff account is created by the admin, an email notification should be sent to the provided email address with account details or instructions to access/set up the portal.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::31
F2-ISS-32,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,32,,Functional,High,User unable to view all reports generated by Staff (Only one report displayed),,"Multiple reports are generated by staff for a user; however, at the user’s end, only one report is displayed. The remaining generated reports are not visible or accessible.",All reports generated by staff for a user should be visible and accessible at the user’s end without any missing entries.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::32
F2-ISS-33,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,33,,UI,Medium,Alignment issue occurring in generated report PDF file.,,Alignment issue occurring in generated report PDF file.,Text should be properly aligned in generated report PDF file.,Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::33
F2-ISS-34,Heat_Cool_Portal_Issues.xlsx,Issues_Sheet,34,,UI,Medium,"Show an info message when no details available under 'Utility consumption history' section, on 'Energy & Reports' page.",,"No info message available when no details available under 'Utility consumption history' section, on 'Energy & Reports' page.","Show an info message when no details available under 'Utility consumption history' section, on 'Energy & Reports' page.",Heat_Cool_Portal_Issues.xlsx::Issues_Sheet::34
